id,year,title,langname,gcode,area,langfamily,affiliation,longitude,latitude
mdp.39015022796224,1968,"Compact English-Chinese dictionary (Yale romanization), by C. K. & K. S. Wu. [Chien ming Ying Han tzu tien. Wu Chih-kang Wu Huang Chʻi-hsiu chu",Mandarin Chinese,mand1415,Eurasia,Sino-Tibetan,"Sino-Tibetan,Sinitic,Classical-Middle-Modern Sinitic,Middle-Modern Sinitic,Northern Chinese,Mandarinic",116.228,40.0209
uc1.b3286328,1972,"Compact Thai-English dictionary; a useful, concise dictionary of the Thai language, by Gordon H. Allison.",Thai,thai1261,Eurasia,Tai-Kadai,"Tai-Kadai,Kam-Tai,Daic-Beic,Daic,Central-Southwestern Tai,Wenma-Southwestern Tai,Sapa-Southwestern Tai,Southwestern Tai,Southwestern Thai P H,Lao-Thai",100.671,14.192
inu.30000050258916,1995,"Compact Zulu dictionary : English-Zulu, Zulu-English /  compiled by G.R. Dent ; edited by C.L.S. Nyembezi.",Zulu,zulu1248,Africa,Atlantic-Congo,"Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern Bantoid,Narrow Bantu,East Bantu,Southern Bantu-Makua,Nguni-Tsonga,Nguni (S.40),Southern Ndebele-Lowland,Zulu-Xhosa",30.2,-28.9
uc1.$b735358,1876,"Companion to Johnson's Dictionary, Bengali and English; peculiarly calculated for the use of European and native students.",Bengali,beng1280,Eurasia,Indo-European,"Indo-European,Indo-Iranian,Indo-Aryan,Indo-Aryan Easternzone,Oriya-Gauda-Kamrupa,Gauda-Kamrupa,Gauda-Banga",90,24
uc2.ark+=13960=t42r3v19c,1914,Complete Bulgarian-English dictionary,Bulgarian,bulg1262,Eurasia,Indo-European,"Indo-European,Balto-Slavic,Slavic,South Slavic,Eastern South Slavic,Macedo-Bulgarian",25.047,43.3646
uc1.$b421727,1832,"Complete dictionary, English and German, and German and English, Christian Ludwig._v. 1",German,stan1295,Eurasia,Indo-European,"Indo-European,Germanic,Northwest Germanic,West Germanic,High German,Upper German,Middle-Modern High German,Modern High German,Upper Franconian,Global German",12.4676,48.649
uiug.30112071068206,1867,"Complete dictionary of the German & English languages : adapted to the English student, with great additions & improvements / by C.A. Feiling, A. Heimann, & John Oxenford._v.1",German,stan1295,Eurasia,Indo-European,"Indo-European,Germanic,Northwest Germanic,West Germanic,High German,Upper German,Middle-Modern High German,Modern High German,Upper Franconian,Global German",12.4676,48.649
mdp.39015042942527,1996,Complete English-Hebrew dictionary / R. Alcalay._v.2,Modern Hebrew,hebr1245,Eurasia,Afro-Asiatic,"Afro-Asiatic,Semitic,West Semitic,Central Semitic,Northwest Semitic,Canaanite,Hebrewic",35.0179,31.1056
hvd.32044086654175,1891,"Complete English-Jewish dictionary, with the pronunciation of every word in Hebrew characters; [and Yiddish-English dictionary, with a treatise on Yiddish reading, orthography, and dialectal variations.]",Modern Hebrew,hebr1245,Eurasia,Afro-Asiatic,"Afro-Asiatic,Semitic,West Semitic,Central Semitic,Northwest Semitic,Canaanite,Hebrewic",35.0179,31.1056
uva.x001978263,1990,Complete English-Maori dictionary / Bruce Biggs.,Maori,maor1246,Papunesia,Austronesian,"Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Eastern Malayo-Polynesian,Oceanic,Central Pacificlinkage,Tokelau-Fijian,Polynesian,Nuclear Polynesian,Northern Outlier Polynesian-East Polynesian,Solomons Northern Outlier Polynesian-East Polynesian,Central Northern Outlier Polynesian-East Polynesian,East Polynesian,Central Eastern Polynesian",176.541,-38.2881
uva.x000023807,-99999,Complete English-Russian dictionary.,Russian,russ1263,Eurasia,Indo-European,"Indo-European,Balto-Slavic,Slavic,East Slavic",50,59
inu.32000001214958,1942,Complete Roumanian-English dictionary. Dictionar complet român-englez. By P. Axelrad.,Romanian,roma1327,Eurasia,Indo-European,"Indo-European,Italic,Latino-Faliscan,Latinic,Imperial Latin,Romance,Eastern Romance,Balkan Romance",24.2256,46.3913
nnc1.1002057182,1919,Complete Russian-English dictionary / by A. Alexandrow.,Russian,russ1263,Eurasia,Indo-European,"Indo-European,Balto-Slavic,Slavic,East Slavic",50,59
